Team,Line
Wake Forest,-3
Georgia State,-10.5
Pitt,-3.5
Buffalo,-12
Minnesota,-4.5
UCLA,-1.5
California ,-8.5
Iowa State,-7
Western Michigan,-1.5
Houston,-13.5
Fresno State,-3
UTSA,-6.5
South Alabama,-13.5
Virginia,-6.5
Notre Dame,-7
