Team,Line
Texas,-3.5
Cincinnati,-21.5
Colorado,-6.5
Baylor,-5
Georgia,-22.5
North Carolina,-7.5
Pitt,-5
Western Kentucky,-12.5
Northern Illinois,-9.5
Oklahoma,-13.5
Iowa State,-6.5
NC State,-3
Wisconsin,-14
Boise,-3.5
Utah,-1
