Team,Line
Michigan,0.54
Indiana,0.6
Auburn,0.6
Oklahoma,0.54
Memphis,0.63
SMU,0.61
Coastal Carolina,0.88
Iowa,0.59
Missouri,0.51
Marshall,0.64
Tulsa,0.56
ULM,0.53
Texas A&M,0.58
NC State,0.52
Notre Dame,0.58
