Team,Line
Michigan,-4
UCF,-11
Baylor,-2.5
Kansas State,-3.5
Minnesota,-7.5
San Jose State,-3
South Alabama,-9
FAU,-11
Mississippi State,-1
Auburn,-3
Oregon State,-1.5
Houston,-1
NC State,-6
BYU,-2.5
Stanford,-2.5
