Team,Line
LSU,-1.5
Missouri,-1.5
Wisconsin,-6.5
Eastern Michigan,-7
Texas A&M,-5.5
Louisville,-1
UCLA,-4
Kentucky,-4.5
Oklahoma State,-5.5
Nebraska,-4
Air Force,-4
Tulane,-3
Indiana,-9.5
New Mexico,-2
Washington,-7.5
