Team,Line
Ole Miss,-5.5
Michigan State,-5.5
Tennessee,-10.5
Oklahoma,-3
Baylor,-1.5
Louisville,-2.5
Colorado State,-3
Central Michigan,-5
Western Michigan,-11
Wisconsin,-11
Oregon State,-3.5
Iowa,-2
Kentucky,-3
Michigan,-3
Virginia Tech,-1
