Team,Line
Georgia,-16.5
Illinois,-10
Memphis,-11
Purdue,-2.5
Pitt,-3
App State,-10
Cincinnati,-2
Boise State,-5
Oklahoma,-11.5
Oregon,-8
UCF,-16
Clemson,-15
Penn State,-12.5
Vanderbilt,-14.5
LSU,-3
