Team,Line
Air Force,-2.5
Ole Miss,-9
North Carolina,-2.5
Miami,-10
North Texas,-5
Texas A&M,-4.5
Troy,-4
Charlotte,-6
Eastern Washington,-7
Fresno State,-5
Oregon State,-12
Old Dominion,-3
New Mexico,-1.5
Iowa State,-6.5
Arizona State,-9
